Name,Sockets,Radiator,Price
Aerocool Rave 3 FRGB,"1150,1151,1155,1200,1700,755,AM2,AM2+,AM3,AM4,AM5,FM1,FM2",mm,NULL
Aerocool Rave 4 ARGB,"1150,1151,1155,1156,1200,1700,775,AM2,AM2+,AM3,AM3+,AM4,FM1,FM2",mm,NULL
Aerocool Rime 4,"1150,1151,1155,1156,1200,1700,2011,2066,AM4",mm,62.73
Aerocool Rime 4 Dual,"1150,1151,1155,1156,1200,1356,1700,2011-v3,2066,AM4,AM5",mm,NULL
Aerocool Verkho 2 - 92mm,"1152, 755, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",NULL,NULL
Aerocool Verkho 2 Plus - 120mm,"1152, 755, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",NULL,NULL
Aerocool Verkho 3 Plus - 120mm,"1152, 755, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",NULL,NULL
Aerocool Verkho 4 Dark - 120mm,"1152, 755, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",NULL,NULL
Aerocool Verkho 5 Dark,"1152, 755, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2, FM1",NULL,NULL
Akasa AK-955A-BV2,"1200, 1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-959CU  - 92mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-CC1101EP02 Low Profile  AMD - 80 mm,"754, 939, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Akasa AK-CC1107EP01  AMD - 80 mm,"754, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,NULL
Akasa AK-CC4007EP01 Nero 3 Processor Cooler - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Akasa AK-CC4008HP01 Venom Voodoo  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Akasa AK-CC4009EP01 Venom Pico  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Akasa AK-CC4010HP01 Medusa  - 120/140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Akasa AK-CC6308EP01 Low Profile  - 92mm,"1200, 1150, 1151, 1155, 1156",NULL,NULL
Akasa AK-CC6601EP01 Low Profile - socket LGA 1700,1700,NULL,NULL
Akasa AK-CC6602HP01 Low Profile - socket LGA 1700,1700,NULL,NULL
Akasa AK-CC6603EP01 Low Profile - socket LGA 1700,1700,NULL,NULL
Akasa AK-CC6606BP01 Low Profile - socket LGA 1700,1700,NULL,NULL
Akasa AK-CC6607EP01 Low Profile - socket LGA 1700,1700,NULL,NULL
Akasa AK-CC6608BP01 Low Profile - socket LGA 1700,1700,NULL,NULL
Akasa AK-CC6609EP01 Low Profile - socket LGA 1700,1700,NULL,NULL
Akasa AK-CC7108EP01  - 92mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-CC7117EP01 K32  - 92mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-CC7118HP01 K25  - 74mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-CC7122BP01 Low Profile  - 74mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-CC7124EP01 Low Profile  - 74mm,"1150, 1151, 1155, 1156",NULL,NULL
Akasa AK-CC7129BP01 Low Profile  - 74mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-CC7401BT01 1U Low Profile - socket LGA 1700,"1700, 1200, 1150, 1152, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-CC7402BT01 2U Low Profile - socket LGA 1700,"1356 , 1700, 1366, 1200, 1150, 1152, 1151, 1155, 1156",NULL,NULL
Akasa AK-CCE-7101CP  mit Kugellager für 775/115X - 92mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa AK-CCE-7106HP Low Profile  Intel - 74mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa Alucia H4 High Performance Processor Kühler,"1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4",NULL,NULL
Akasa Alucia H4 Plus High Performance Processor Kühler,"2066, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4",NULL,NULL
Akasa Aluminium Kühler 50mm Fan socket A,"Sockel A, Sockel 370",NULL,NULL
Akasa Dual Socket Low Noise PWM  für 775/115X - 80mm,"1150, 1151, 1155, 1156, 775",NULL,NULL
Akasa Nero LX 2  - 120 mm,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Akasa SOHO 240 Dusk Edition  - 240 mm,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4",240mm,252.12
Akasa SOHO 360 Dusk Edition  - 360 mm,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4",360mm,252.12
Akasa Soho H4 Processor Kühler,"1200, 1150, 1151, 1155, 1156, 2011, 2066, AM4",NULL,NULL
Akasa SOHO H4 plus Processor Kühler,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM4",NULL,NULL
Akasa Sunflower Mini-Top-Flow- - 120mm,"AM4, AM3+",NULL,NULL
Akasa Vegas Chroma AM,"AM4, AM3+",NULL,41.61
Akasa Vegas Chroma LG,"1150, 1151, 1155, 1156",NULL,41.61
Akasa Venom A10,"1150, 1151, 1155, 1156, 1366, 2011, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",120mm,NULL
Akasa Venom A20,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2",240mm,NULL
Alpenföhn Atlas  - 2x92mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Ben Nevis  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",NULL,45.98
Alpenföhn Ben Nevis Advanced  - 130mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",NULL,45.98
Alpenföhn Ben Nevis Advanced RGB Black Edition - 130mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Black Ridge  - 120mm,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,68.61
Alpenföhn Brocken 2  - 140 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, FM1",NULL,100.72
Alpenföhn Brocken 2 PCGH Edition  - 140 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Brocken 3  - 140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM3, AM3+, AM4, FM1, AM5",NULL,100.72
Alpenföhn Brocken 3 Black Edition  - 2x140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5",NULL,NULL
Alpenföhn Brocken 3 White Edition  - 2x140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Brocken 4 - 120mm,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",NULL,100.72
Alpenföhn Brocken 4 Max - 2x 120mm,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",NULL,124.0
Alpenföhn Brocken ECO  - 120 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,100.72
Alpenföhn Brocken ECO Advanced - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,100.72
Alpenföhn Dolomit - 92mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",NULL,90.18
Alpenföhn Dolomit Advanced - 120mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",NULL,NULL
Alpenföhn Dolomit Premium - 120mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM5",NULL,90.18
"Alpenföhn Gletscherwasser 240 , ARGB - white","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTRX4, TR4, AM5, 1700",240mm,NULL
"Alpenföhn Gletscherwasser 280 , ARGB , black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM3+, AM4, FM1, TR4, sTRX4, AM5, 1700",280mm,202.25
"Alpenföhn Gletscherwasser 280 , ARGB - white","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTR4, TR4, AM5, 1700",280mm,NULL
"Alpenföhn Gletscherwasser 360 , ARGB - white","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3+, AM2+, FM1, sTRX4, TR4, AM5, 1700",360mm,NULL
Alpenföhn Matterhorn Black Edition  Rev. C - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Matterhorn Pure Edition  - 120 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Matterhorn Threadripper Edition,"TR4, sTRX4",NULL,NULL
Alpenföhn Matterhorn White Edition  Rev. C - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Olymp  - 2x140mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Panorama  - 100mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",NULL,NULL
Alpenföhn Sella  - 92mm,"1150, 1151, 1155, 1156, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",NULL,34.99
"Alpenföhn Super Silent SI 2, AMD  - 92mm","AM2, AM3, AM3+, FM1",NULL,NULL
Alphacool Core Ocean T38 120mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",120mm,84.99
Alphacool Core Ocean T38 240mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",240mm,84.99
Alphacool Core Ocean T38 280mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",280mm,84.99
Alphacool Core Ocean T38 360mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",360mm,84.99
Alphacool Core Ocean T38 420mm Processor Digital,"2066, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",420mm,84.99
