Name,Size,Watt,Price
Corsair HX850i High Performance,ATX,850W,NULL
Corsair HX850i High-Performance ATX Power Supply,ATX,850W,NULL
Corsair HXi Series HX1000i,ATX PS/2,1000W,37688.62
Corsair HXi Series HX1200i,ATX,1200W,45577.12
Corsair HXi Series HX1500i,ATX PS/2,1500W,NULL
Corsair Professional Platinum Series AX1200i,ATX,1200W,NULL
Corsair Professional Platinum Series AX1500i,ATX,1500W,NULL
Corsair Professional Platinum Series AX1600i,ATX,1600W,NULL
Corsair Professional Platinum Series AX760,ATX,760W,NULL
Corsair Professional Platinum Series AX860,ATX,860W,NULL
Corsair Professional Platinum Series AX860I,ATX,860W,NULL
Corsair RM Series RM650,ATX,650W,20158.62
Corsair RM Series RM650i,ATX,650W,20158.62
Corsair RM Series RM750 (2021),ATX,750W,8764.12
Corsair RM Series RM750i,ATX,750W,13584.87
Corsair RM Series RM850 (2021),ATX,850W,11393.62
Corsair RM1000,ATX,1000W,21034.25
Corsair RM1000x,ATX,1000W,21034.25
Corsair RM650i,ATX,650W,20158.62
Corsair RM650x,ATX,650W,21911.62
Corsair RM850i,ATX,850W,10165.65
Corsair RM850x,ATX,850W,18404.75
Corsair RM850x,ATX,850W,18404.75
Corsair RMe Series RM750e,ATX,750W,13584.87
Corsair RMX Series (2021) RM1000x,ATX,1000W,16652.62
Corsair RMX Series (2021) RM550x,ATX,550W,17440.6
Corsair RMX Series (2021) RM650x,ATX,650W,9202.37
Corsair RMX Series (2021) RM750x,ATX,750W,8764.12
Corsair RMX Series 2018 RMX750 - white,ATX,750W,NULL
Corsair RMX Series 2018 RMX850,ATX,850W,35673.55
Corsair RMX Series RMX750 - white,ATX,750W,13584.87
Corsair RMX Series RMX850,ATX,850W,14899.62
Corsair RMx Shift Series RM750x,ATX PS/2,750W,13584.87
Corsair SF Series SF450 80 PLUS Platinum SFX,SFX,450W,NULL
Corsair SF Series SF600 80 PLUS Gold SFX,SFX,600W,NULL
Corsair SF Series SF600 80 PLUS Platinum SFX,SFX,600W,NULL
Corsair SF Series SF750 80 PLUS Platinum SFX,SFX,750W,NULL
Corsair SF450,SFX,450W,18406.5
Corsair SF600,SFX,600W,20158.62
Corsair Vengeance Series V650M,ATX,650W,NULL
Corsair VS Series VS350,ATX,350W,NULL
Corsair VS Series VS450,ATX,450W,NULL
Corsair VS Series VS450,ATX,450W,NULL
Corsair VS Series VS550,ATX,550W,NULL
Corsair VS Series VS550,ATX,550W,NULL
Corsair VS Series VS650,ATX,650W,NULL
Corsair VS Series VS650,ATX,650W,NULL
Corsair VS400,ATX,400W,18406.5
Corsair VS500,ATX,500W,18406.5
Corsair VS600,ATX,600W,20158.62
Cougar CMD 500 digitales,ATX,500W,NULL
Cougar CMD 600 digitales,ATX,600W,NULL
COUGAR Gaming 31GM105001P01,ATX,1050W,NULL
COUGAR Gaming 31TP065056H-01,ATX,650W,NULL
COUGAR Gaming 31VG075.0001P,ATX,750W,NULL
COUGAR Gaming CGR GEXP-650,ATX,650W,NULL
COUGAR Gaming CGR GEXP-750,ATX,650W,NULL
COUGAR Gaming CGR GEXP-850,ATX,650W,NULL
COUGAR Gaming CGR GLE-1000,ATX,1000W,NULL
COUGAR Gaming CGR GLE-1200,ATX,1200W,NULL
COUGAR Gaming GEX 1050,ATX,1050W,NULL
COUGAR Gaming GEX X2 1000,ATX,1000W,NULL
COUGAR Gaming GST,ATX,750W,NULL
COUGAR Gaming GST,ATX,850W,NULL
COUGAR Gaming POLAR,ATX,1050W,18318.85
COUGAR Gaming POLAR X2,ATX,1200W,18318.85
COUGAR Gaming POLAR X2,ATX,1050W,18318.85
Cougar GX 1050 V3,ATX,1050W,NULL
Cougar GX 600 V3,ATX,600W,NULL
Cougar GX 800 V3,ATX,800W,NULL
Cougar GX-F,ATX,650W,13936.35
Cougar GX-F,ATX,550W,13936.35
Cougar GX-F,ATX,750W,13936.35
Cougar GX-S,ATX,750W,13936.35
Cougar GX-S,ATX,650W,13936.35
Cougar GX-S,ATX,550W,13936.35
Cougar GX-S,ATX,450W,13936.35
Cougar LX500,ATX,500W,13936.35
Cougar LX600,ATX,600W,13936.35
Cougar STX,ATX,750W,6600.05
Cougar STX,ATX,550W,6600.05
Cougar STX,ATX,650W,6600.05
Cougar STX,ATX,450W,6600.05
Cougar STX,ATX,350W,6600.05
Cougar VTX,ATX,700W,6600.05
Cougar VTX,ATX,600W,6600.05
Cougar VTX,ATX,500W,6600.05
Cougar VTX,ATX,400W,6600.05
Deep Gaming DG-PWS850-MGL5,ATX,850W,NULL
Enermax Digifanless digitales,ATX,550W,NULL
Enermax Maxpro,ATX,500W,NULL
Enermax Platimax,ATX,750W,22788.12
Enermax Platimax,ATX,1000W,22788.12
Enermax Platimax,ATX,1700W,22788.12
Enermax Platimax,ATX,850W,22788.12
Enermax Platimax D.F.,ATX,600W,11393.62
Enermax Platimax D.F. 80 PLUS Platin,ATX,500W,NULL
Enermax Revolution87+,ATX,850W,11303.34
EVGA,ATX,430W,NULL
EVGA 1000GQ,ATX,1000W,19371.53
EVGA 400 N1,ATX,400W,4293.97
EVGA 430 W1,ATX,430W,4293.97
EVGA 450 B3,ATX,450W,12799.53
EVGA 450 BT,ATX,450W,12799.53
EVGA 450 BV,ATX,450W,12799.53
EVGA 500 B1,ATX,500W,15513.17
EVGA 500 BQ,ATX,500W,13146.62
EVGA 500 BV,ATX,500W,8170.73
EVGA 500 W1,ATX,500W,6674.55
EVGA 550 B3,ATX,550W,20158.62
EVGA 550 N1,ATX,550W,6133.75
EVGA 600 BQ,ATX,600W,13146.62
EVGA 600 W1,ATX,600W,6674.55
EVGA 600B,ATX,600W,13146.62
EVGA 650 B3,ATX,650W,12799.53
EVGA 650 BQ,ATX,650W,12799.53
EVGA 650 GQ,ATX,650W,12799.53
EVGA 650 N1,ATX,650W,9462.69
EVGA 700 B1,ATX,700W,8170.73
EVGA 700B,ATX,700W,8170.73
EVGA 750 B3,ATX,750W,17180.28
EVGA 750 GQ,ATX,750W,13205.35
EVGA 750 N1,ATX,750W,6133.75
EVGA 850 B3,ATX,850W,10430.35
EVGA 850 BQ,ATX,850W,10430.35
EVGA 850 GQ,ATX,850W,13936.35
EVGA B3,ATX,850W,NULL
EVGA B3,ATX,750W,NULL
EVGA B3,ATX,650W,NULL
EVGA B3,ATX,550W,NULL
EVGA B3,ATX,450W,NULL
EVGA BQ,ATX,850W,13146.62
EVGA BQ,ATX,750W,13146.62
EVGA BQ,ATX,650W,13146.62
EVGA BQ,ATX,600W,13146.62
EVGA BQ,ATX,500W,13146.62
EVGA SuperNOVA 1000 G2,ATX,1000W,29702.83
EVGA SuperNOVA 1000 P2,ATX,1000W,35059.12
EVGA SuperNOVA 1000 T2,ATX,1000W,56971.62
EVGA SuperNOVA 1050 GS,ATX,1050W,24077.46
EVGA SuperNOVA 1200 P2,ATX,1200W,35059.12
EVGA SuperNOVA 1300 G2,ATX,1300W,24077.46
EVGA SuperNOVA 1600 G2,ATX,1600W,61354.12
EVGA SuperNOVA 1600 P2,ATX,1600W,61354.12
EVGA SuperNOVA 1600 T2,ATX,1600W,60303.2
EVGA SuperNOVA 550 G2,ATX,550W,21824.85
EVGA SuperNOVA 550 GS,ATX,550W,21824.85
EVGA SuperNOVA 650 G1,ATX,650W,21035.12
EVGA SuperNOVA 650 G2,ATX,650W,21035.12
EVGA SuperNOVA 650 P2,ATX,650W,35059.12
EVGA SuperNOVA 750 B1,ATX,750W,13884.64
EVGA SuperNOVA 750 B2,ATX,750W,13884.64
EVGA SuperNOVA 750 G1,ATX,750W,13884.64
EVGA SuperNOVA 750 P2,ATX,750W,39441.62
EVGA SuperNOVA 750 T2,ATX,750W,60303.2
EVGA SuperNOVA 850 B2,ATX,850W,25243.2
EVGA Supernova 850 G2L,ATX,850W,25243.2
EVGA SuperNOVA 850 G3,ATX,850W,25243.2
EVGA SuperNOVA 850 GS,ATX,850W,25243.2
EVGA SuperNOVA 850 P2,ATX,850W,35059.12
EVGA SuperNOVA 850 T2,ATX,850W,60303.2
EVGA SuperNOVA G1,ATX,1000W,25243.2
EVGA SuperNOVA G1,ATX,650W,25243.2
EVGA SuperNOVA G2,ATX,850W,25243.2
EVGA SuperNOVA G2L,ATX,850W,25243.2
EVGA SuperNOVA G2L 80 PLUS Gold,ATX,750W,25243.2
EVGA SuperNOVA G3,ATX,550W,35059.12
EVGA SuperNOVA G3,ATX,650W,35059.12
EVGA SuperNOVA G3,ATX,850W,35059.12
EVGA SuperNOVA GQ,ATX,1000W,25243.2
EVGA SuperNOVA GQ,ATX,850W,25243.2
EVGA SuperNOVA GQ,ATX,750W,25243.2
EVGA SuperNOVA GQ,ATX,650W,25243.2
EVGA SuperNOVA GS 550,ATX,550W,21824.85
EVGA SuperNOVA P2,ATX,1200W,35059.12
EVGA SuperNOVA P2,ATX,1600W,35059.12
EVGA SuperNOVA T2,ATX,1600W,60303.2
EVGA SuperNOVA T2,ATX,1000W,60303.2
EVGA SuperNOVA T2,ATX,850W,60303.2
EVGA W1,ATX,600W,6674.55
Fractal Design Ion SFX,SFX-L,650W,20860.7
Fractal Design Ion SFX,SFX-L,500W,20860.7
Fractal Design Ion+ Platinum,ATX,660W,20860.7
Fractal Design Ion+ Platinum,ATX,760W,20860.7
Fractal Design Ion+ Platinum,ATX,560W,20860.7
Fractal Design Ion+ Platinum,ATX,860W,20860.7
FSP DAGGER PRO ATX3.0(PCIe5.0) 850W,SFX,850W,NULL
FSP FSP180-50FEB,Flex ATX,180W,NULL
FSP FSP250-50FEB,Flex ATX,250W,NULL
FSP FSP400-50AAC,ATX,400W,NULL
FSP FSP460-70PFL(SK),ATX,460W,NULL
FSP H3-550,ATX,550W,NULL
FSP Hydro G PRO ATX3.0(PCIe5.0) 1000W,ATX,1000W,NULL
FSP Hydro G PRO ATX3.0(PCIe5.0) 1200W,ATX,1200W,NULL
FSP Hydro G PRO ATX3.0(PCIe5.0) 850W,ATX,850W,NULL
FSP Hydro GT PRO 1000W,ATX,1000W,NULL
FSP Hydro GT PRO ATX3.0(PCIe5.0) 1000W,ATX,1000W,NULL
FSP Hydro GT PRO ATX3.0(PCIe5.0) 850W,ATX,850W,NULL
FSP Hydro GT PRO ATX3.0(PCIe5.0) 850W,ATX,850W,NULL
FSP Hydro K PRO 750W,ATX,750W,NULL
FSP Hydro K PRO ATX3.0(PCIe5.0) 750W,ATX,750W,NULL
FSP Hydro K PRO ATX3.0(PCIe5.0) 750W,ATX,750W,NULL
FSP Hydro K PRO ATX3.0(PCIe5.0) 850W,ATX,850W,NULL
FSP Hydro K PRO ATX3.0(PCIe5.0) 850W,ATX,850W,NULL
FSP Hydro PTM PRO 1350W ATX3.0(12V-2x6),ATX,1350W,NULL
FSP Hydro PTM PRO 1650W ATX3.0(12V-2x6),ATX,1650W,NULL
FSP Hydro PTM PRO ATX3.0(PCIe5.0) 1200W,ATX,1200W,NULL
FSP Hydro PTM X PRO ATX3.0(PCIe5.0) 1000W,ATX,1000W,NULL
FSP Hydro PTM X PRO ATX3.0(PCIe5.0) 1200W,ATX,1200W,NULL
FSP Hydro Ti PRO 1000W,ATX,1000W,NULL
FSP Hydro Ti PRO 850W,ATX,850W,23664.62
FSP HYPER 80+ PRO 450W,ATX,450W,NULL
FSP HYPER 80+ PRO 550W,ATX,550W,NULL
FSP HYPER 80+ PRO 650W,ATX,650W,NULL
FSP HYPER 80+ PRO 700W,ATX,700W,NULL
FSP Vita,ATX,550W,NULL
FSP Vita,ATX,650W,NULL
FSP Vita,ATX,750W,NULL
FSP Vita,ATX,650W,NULL
FSP Vita,ATX,750W,NULL
FSP Vita,ATX,850W,NULL
FSP VITA GM 1000W,ATX,1000W,NULL
FSP VITA GM 650W,ATX,650W,NULL
FSP VITA GM 750W,ATX,750W,NULL
FSP VITA GM 850W,ATX,850W,NULL
GIGABYTE AORUS ELITE P1000W,ATX,1000W,14023.12
GIGABYTE AORUS ELITE P1000W,ATX,1000W,14023.12
GIGABYTE AORUS ELITE P1000W ICE,ATX,1000W,14023.12
GIGABYTE AORUS ELITE P1000W ICE,ATX,1000W,14023.12
GIGABYTE AORUS ELITE P850W,ATX,850W,14023.12
GIGABYTE AORUS ELITE P850W,ATX,850W,14023.12
GIGABYTE AORUS ELITE P850W ICE,ATX,850W,14023.12
GIGABYTE AORUS ELITE P850W ICE,ATX,850W,14023.12
Gigabyte Aorus P750W,ATX,750W,17191.67
Gigabyte Aorus P850W,ATX,850W,14023.12
Gigabyte B700H 80 PLUS Bronze,ATX,700W,NULL
Gigabyte G750H 80 PLUS Gold,ATX,750W,NULL
GIGABYTE GP-P650G,ATX,650W,7934.95
GIGABYTE GP-UD850GM PG5,ATX,850W,10517.12
Gigabyte P450B,ATX,450W,7934.95
Gigabyte P550B,ATX,550W,7934.95
GIGABYTE P550SS,ATX,550W,7934.95
GIGABYTE P550SS ICE,ATX,550W,7934.95
GIGABYTE P550SS ICE,ATX,550W,7934.95
GIGABYTE P650SS,ATX,550W,7934.95
GIGABYTE P650SS ICE,ATX,650W,7934.95
GIGABYTE P750BS,ATX,750W,7934.95
GIGABYTE P750BS,ATX,750W,7934.95
Gigabyte P850GM,ATX,850W,15329.99
Gigabyte PB500,ATX,500W,7934.95
Gigabyte PW400,ATX,400W,7934.95
Gigabyte UD1000GM PG5,ATX,1000W,37720.18
GIGABYTE UD1000GM PG5,ATX,1000W,37720.18
Gigabyte UD1000GM PG5 2.0,ATX,1000W,13670.77
GIGABYTE UD1000GM PG5 V2,ATX,1000W,37720.18
GIGABYTE UD1000GM PG5 V2 ICE,ATX,1000W,37720.18
GIGABYTE UD1300GM PG5,ATX,1300W,19282.12
GIGABYTE UD1600PM PG5 AI TOP,ATX,1600W,37720.18
GIGABYTE UD1600PM PG5 AI TOP,ATX,1600W,37720.18
GIGABYTE UD1600PM PG5 AI TOP,ATX,1600W,37720.18
GIGABYTE UD750GM PG5,ATX,750W,10517.12
GIGABYTE UD750GM PG5 V2,ATX,750W,10517.12
GIGABYTE UD750GM PG5 V2 ICE,ATX,750W,10517.12
GIGABYTE UD850GM,ATX,850W,9203.25
GIGABYTE UD850GM PG5 V2,ATX,850W,10517.12
GIGABYTE UD850GM PG5 V2 ICE,ATX,850W,10517.12
GIGABYTE UD850GM PG5W,ATX,850W,10517.12
GIGABYTE UD850GM PG5W,ATX,850W,10517.12
Gigabyte XP1200M,ATX,1200W,15329.99
Hiditec BZX650,ATX,650W,NULL
Hiditec BZX750,ATX,750W,NULL
Hiditec BZX850,ATX,850W,NULL
Hiditec GDX1050 v2,ATX,1050W,NULL
Hiditec GDX750 v2,ATX,750W,NULL
Hiditec GDX850 v2,ATX,850W,NULL
Hiditec PSU010029,ATX,750W,NULL
Hiditec PSU010030,ATX,850W,NULL
Hiditec PSU010031,ATX,1050W,NULL
Hiditec RL550,ATX,550W,NULL
Hiditec RL650,ATX,650W,NULL
Hiditec RL750,ATX,750W,NULL
Hiditec RX650,ATX,650W,NULL
Hiditec RX750,ATX,750W,NULL
Impactics 65 Watt AC-DC Adapter für D1NU-Serie,external,65W,NULL
Impactics 84 Watt AC-DC Adapter inkl. 130 Watt Wandlerplatine,external,84W,NULL
IN WIN Classic C750 80Plus Platinum,ATX,750W,NULL
IN WIN Classic C900 80Plus Platinum,ATX,900W,NULL
IN WIN GreenMe,ATX,750W,NULL
IN WIN GreenMe,ATX,550W,NULL
IN WIN GreenMe,ATX,650W,NULL
IN WIN Power Man IP-P1K0BK7-2,ATX,1000W,NULL
IN WIN Power Man IP-P1K2BK7-2,ATX,1200W,NULL
InWin DESERT FOX Commander III 80 PLUS Gold,ATX,600W,NULL
InWin IP-AD180-2 H 80 Plus Bronze,ITX,180W,NULL
InWin P75FII,ATX,750W,NULL
InWin P85FII,ATX,850W,NULL
"InWin Power Man IP-S550HQ3-2, 80 PLUS Bronze",ATX,550W,NULL
"InWin Power Man IP-S650HQ3-2, 80 PLUS Bronze",ATX,650W,NULL
itek GBI750,ATX,750W,NULL
itek GBI850,ATX,850W,NULL
itek GX550 EVO,SFX,550W,NULL
itek GX650 EVO,SFX,650W,NULL
itek NBPS500K,ATX,500W,NULL
itek PBI1000,ATX,1000W,NULL
itek SI350,ATX,350W,NULL
Kolink Classic Power 80 PLUS Bronze,ATX,700W,NULL
Kolink Classic Power 80 PLUS Bronze,ATX,600W,NULL
Kolink Classic Power 80 PLUS Bronze,ATX,500W,NULL
Kolink Classic Power 80 PLUS Bronze,ATX,400W,NULL
Kolink Continuum 80 PLUS Platinum,ATX,1200W,NULL
Kolink Continuum 80 PLUS Platinum,ATX,1050W,NULL
Kolink Continuum 80 PLUS Platinum,ATX,1500W,NULL
Kolink Continuum 80 PLUS Platinum,ATX,850W,NULL
Kolink Continuum 80 PLUS Platinum,ATX,1050W,NULL
Kolink Continuum 80 PLUS Platinum,ATX,1200W,NULL
Kolink Core 80 PLUS,ATX,400W,NULL
Kolink Core 80 PLUS,ATX,500W,NULL
Kolink Core 80 PLUS,ATX,300W,NULL
Kolink Core 80 PLUS,ATX,600W,NULL
Kolink Core 80 PLUS,ATX,700W,NULL
Kolink Core 80 PLUS,ATX,1000W,NULL
Kolink Core 80 PLUS,ATX,850W,NULL
Kolink Core RGB 80 PLUS,ATX,500W,NULL
Kolink Core S Series 80 PLUS,ATX,700W,NULL
Kolink Core S Series 80 PLUS,ATX,600W,NULL
Kolink Core S Series 80 PLUS,ATX,500W,NULL
Kolink Enclave 80 PLUS Gold,ATX,600W,NULL
Kolink Enclave 80 PLUS Gold,ATX,700W,NULL
Kolink KL-1000M,ATX,1000W,NULL
Kolink KL-400 80 PLUS Bronze 400 Watt,ATX,400W,NULL
Kolink KL-500,ATX,500W,NULL
Kolink KL-500M,ATX,500W,NULL
Kolink KL-600,ATX,600W,NULL
Kolink KL-600M,ATX,600W,NULL
Kolink KL-700,ATX,700W,NULL
Kolink KL-700M,ATX,700W,NULL
Kolink KL-850M,ATX,850W,NULL
Kolink Modular Power 80 PLUS Bronze,ATX,600W,NULL
Kolink Modular Power 80 PLUS Bronze,ATX,700W,NULL
Kolink Modular Power 80 PLUS Bronze,ATX,500W,NULL
Kolink Modular Power 80 PLUS Bronze,ATX,850W,NULL
Kolink SFX-450,SFX,450W,NULL
Lian Li PE-550B SFX-L,SFX-L,550W,NULL
Lian Li PE-750B SFX-L,SFX-L,750W,NULL
Lian Li SP750,SFX,750W,31859.9
Lian Li SP750,SFX,750W,31859.9
Lian Li SP850,SFX,850W,11745.1
Lian Li SP850,SFX,850W,11745.1
Mars Gaming MPB1000M,ATX,1000W,NULL
Mars Gaming MPB650,ATX,650W,NULL
Mars Gaming MPB650SI,ATX,650W,NULL
Mars Gaming MPB650SIW,ATX,650W,NULL
Mars Gaming MPB750M,ATX,750W,NULL
Mars Gaming MPB750SIW,ATX,750W,NULL
Mars Gaming MPB850M,ATX,850W,NULL
Mars Gaming MPIII550,ATX,550W,NULL
Mars Gaming MPIII650,ATX,650W,NULL
Mars Gaming MPIII650,ATX,650W,NULL
Mars Gaming MPIII750,ATX,750W,NULL
Mars Gaming MPIII750W,ATX,750W,NULL
Mars Gaming MPVU750M,ATX,750W,NULL
Mars Gaming MPZE750M,ATX,750W,NULL
Montech Century G5 80 PLUS Gold,ATX,750W,8843.89
Montech Titan 1000W - 80 PLUS & Cybenetics Gold,ATX,1000W,NULL
Montech Titan 1200W - 80 PLUS & Cybenetics Gold,ATX,1200W,NULL
Montech Titan 850W - 80 PLUS & Cybenetics Gold,ATX,850W,NULL
MSI MAG A1000GL PCIE5,ATX,1000W,14724.32
MSI MAG A1250GL PCIE5,ATX,1250W,18835.99
MSI MAG A550BN,ATX,550W,5083.7
MSI MAG A550BNL,ATX,550W,5083.7
MSI MAG A650BN,ATX,650W,6358.13
MSI MAG A650BNL,ATX,650W,6358.13
MSI MAG A650GL,ATX,650W,8245.24
MSI MAG A750BN PCIE5,ATX,750W,6572.0
MSI MAG A750GL PCIE5,ATX,750W,8764.12
MSI MAG A750GL PCIE5 II,ATX,750W,10079.75
MSI MAG A750GN PCIE5,ATX,750W,8764.12
MSI MAG A850GL PCIe5,ATX,850W,9607.32
MSI MAG A850GL PCIE5 II,ATX,850W,11393.62
MSI MAG A850GL PCIE5 WHITE,ATX,850W,9607.32
MSI MAG A850GN PCIE5,ATX,850W,9607.32
MSI MEG AI1300P PCIE5,ATX,1300W,31549.62
MSI MEG Ai1600T PCIE5,ATX,1600W,31549.62
MSI MPG A1000G,ATX,1000W,21425.17
MSI MPG A1000G PCIE5,ATX,1000W,14374.6
MSI MPG A1000G PCIE5,ATX,1000W,14374.6
MSI MPG A1000GS PCIE5,ATX,1000W,14374.6
MSI MPG A1250GS PCIE5,ATX,1250W,16652.62
MSI MPG A650GF,ATX,650W,11393.62
MSI MPG A750GF,ATX,750W,11393.62
MSI MPG A750GF White,ATX,750W,11393.62
MSI MPG A750GF WHITE,ATX,750W,11393.62
MSI MPG A850G PCIE5,ATX,850W,11831.87
MSI MPG A850GF,ATX,850W,20816.0
MSI MPG A850GS PCIE5,ATX,850W,12708.37
NZXT E500 Modular,ATX,500W,NULL
NZXT E650 Modular,ATX,650W,NULL
NZXT E850 Modular,ATX,850W,NULL
PHANTEKS AMP 80 PLUS Gold,ATX,1000W,NULL
PHANTEKS AMP 80 PLUS Gold,ATX,850W,NULL
PHANTEKS AMP 80 PLUS Gold,ATX,750W,NULL
PHANTEKS AMP v2 80 PLUS Gold,ATX,1000W,NULL
PHANTEKS AMP v2 80 PLUS Gold,ATX,1000W,NULL
PHANTEKS Revolt Pro 80 PLUS Gold,ATX,850W,NULL
PHANTEKS Revolt Pro 80 PLUS Gold,ATX,1000W,NULL
PHANTEKS Revolt SFX 80 PLUS Gold,SFX,650W,NULL
PHANTEKS Revolt SFX 80 PLUS Gold,SFX,750W,NULL
PHANTEKS Revolt SFX 80 PLUS Platinum,SFX,750W,NULL
PHANTEKS Revolt SFX 80 PLUS Platinum,SFX,850W,NULL
PHANTEKS Revolt X 80 PLUS Platinum,ATX,1000W,NULL
PHANTEKS Revolt X 80 PLUS Platinum,ATX,1200W,NULL
Phobya externes,extern,70W,NULL
Seasonic CONNECT 750 Gold,ATX,750W,NULL
Seasonic Eco 80 PLUS Bronze,ATX,430W,NULL
Seasonic FOCUS 650 GOLD,ATX,650W,13498.1
Seasonic FOCUS 750 GOLD,ATX,750W,13498.1
Seasonic Focus 80 PLUS Gold,ATX,450W,NULL
Seasonic Focus 80 PLUS Gold,"ATX, SFX",750W,NULL
Seasonic Focus 80 PLUS Platinum,"ATX, SFX",650W,11805.58
Seasonic Focus GX 80 PLUS Gold,ATX,1000W,NULL
Seasonic Focus Plus,ATX,850W,NULL
Seasonic Focus Plus Gold,ATX,550W,NULL
Seasonic Focus Plus Gold,ATX,650W,NULL
Seasonic Focus Plus Gold,ATX,750W,NULL
Seasonic Focus Plus Gold,ATX,1000W,NULL
Seasonic Focus Plus PCGH Edition,ATX,550W,NULL
Seasonic Focus Plus Platinum,ATX,550W,11805.58
Seasonic Focus PX 80 PLUS Platinum,ATX,550W,NULL
Seasonic Focus PX 80 PLUS Platinum,ATX,850W,NULL
Seasonic Focus PX 80 Plus Platinum 650 Watt,ATX,650W,NULL
Seasonic Focus SGX 80 PLUS Gold SFX,"ATX, SFX-L",450W,NULL
Seasonic Focus SGX 80 PLUS Gold SFX,"ATX, SFX-L",650W,NULL
Seasonic Focus SGX 80 PLUS Gold SFX-L,SFX-L,500W,NULL
Seasonic Focus+,ATX,650W,18493.27
Seasonic Focus+,ATX,750W,18493.27
Seasonic Focus+,ATX,850W,18493.27
Seasonic G-360,ATX,360W,30302.36
Seasonic G-450,ATX,450W,30302.36
Seasonic G-550,ATX,550W,30302.36
Seasonic G-Series,ATX,650W,7624.67
Seasonic G-Series,ATX,550W,7624.67
Seasonic G-Series,ATX,550W,7624.67
Seasonic G-Series,ATX,750W,7624.67
Seasonic G-Series,ATX,450W,7624.67
Seasonic G-Series,ATX,360W,7624.67
Seasonic G12 80 PLUS Gold,ATX,750W,30302.36
Seasonic G12 80 PLUS Gold,ATX,650W,30302.36
Seasonic G12 80 PLUS Gold,ATX,550W,30302.36
Seasonic G12-GC-550 Gold,ATX,550W,30302.36
Seasonic G12-GC-650 Gold,ATX,650W,30302.36
Seasonic M12II 850,ATX,850W,7713.2
Seasonic M12II Evo,ATX,750W,7713.2
Seasonic M12II EVO 620,ATX,620W,7713.2
Seasonic M12II Evo 80 PLUS Bronze,ATX,520W,NULL
"Seasonic M12II Evo, AM2 80 PLUS Bronze",ATX,620W,NULL
Seasonic P-Series,ATX,1050W,27114.53
Seasonic P-Series,ATX,860W,27114.53
Seasonic P-Series,ATX,520W,27114.53
Seasonic P-Series,ATX,760W,27114.53
Seasonic P-Series,ATX,660W,27114.53
Seasonic Platinum 1000,ATX,1000W,11805.58
Seasonic Platinum 460 Fanless,ATX,460W,31748.58
Seasonic Platinum 520 Fanless,ATX,520W,21106.12
Seasonic PLATINUM 660,ATX,660W,11805.58
Seasonic Platinum 760,ATX,760W,11805.58
Seasonic PLATINUM 860,ATX,860W,11805.58
Seasonic Prime,ATX,850W,59120.8
Seasonic Prime,ATX,1000W,59120.8
Seasonic Prime,ATX,650W,59120.8
Seasonic Prime,ATX,750W,59120.8
Seasonic Prime,ATX,650W,59120.8
Seasonic Prime,ATX,550W,59120.8
Seasonic Prime,ATX,750W,59120.8
Seasonic Prime,ATX,850W,59120.8
Seasonic Prime,ATX,1000W,59120.8
Seasonic PRIME 1200 PLATINUM,ATX,1000W,11805.58
Seasonic PRIME 1200 W Gold,ATX,1200W,49083.12
Seasonic PRIME 750 GOLD,ATX,750W,21106.12
Seasonic Prime 80 PLUS Gold,ATX,1300W,NULL
Seasonic Prime 80 PLUS Platinum,ATX,1300W,31748.58
Seasonic Prime Fanless 80 PLUS Titanium,ATX,600W,52502.35
Seasonic Prime Fanless PX,ATX,450W,31748.58
Seasonic Prime Fanless PX,ATX,500W,31748.58
Seasonic Prime Fanless TX,ATX,700W,31748.58
Seasonic PRIME Fanless TX-600,sonstige,600W,31748.58
Seasonic Prime GX 80 PLUS Gold,ATX,650W,NULL
Seasonic Prime Snow Silent 80 PLUS Gold,ATX,550W,NULL
Seasonic Prime Snow Silent 80 PLUS Platinum,ATX,650W,NULL
Seasonic Prime Snow Silent 80 PLUS Titanium,ATX,750W,52502.35
Seasonic Prime TX 80 PLUS Titanium,ATX,850W,52502.35
Seasonic Prime Ultra,ATX,650W,59120.8
Seasonic PRIME ULTRA 1000 GOLD,ATX,1000W,49083.12
Seasonic PRIME Ultra 1000 W Platinum,ATX,1000W,49083.12
Seasonic Prime Ultra 80 PLUS Gold,ATX,550W,NULL
Seasonic Prime Ultra 80 PLUS Platinum,ATX,850W,NULL
Seasonic Prime Ultra 80 PLUS Platinum,ATX,750W,NULL
Seasonic Prime Ultra 80 PLUS Platinum,ATX,1000W,NULL
Seasonic PRIME ULTRA 850 GOLD,ATX,850W,59120.8
Seasonic S12G,ATX,550W,7713.2
Seasonic S12G-750,ATX,750W,7713.2
Seasonic S12II,ATX,430W,7713.2
Seasonic S12II 430,ATX,430W,7713.2
Seasonic S12II 620,ATX,620W,7713.2
"Seasonic S12II, GB 80 PLUS Bronze",ATX,620W,NULL
"Seasonic S12II, GB 80 PLUS Bronze",ATX,520W,NULL
Seasonic S12III 80 PLUS Bronze,ATX,550W,NULL
Seasonic S12III 80 PLUS Bronze,ATX,650W,NULL
Seasonic S12III 80 PLUS Bronze,ATX,500W,NULL
Seasonic Snow Silent,ATX,750W,NULL
"Seasonic SS-350ES 80 PLUS Bronze, bulk",ATX,350W,7887.62
Seasonic SS-400ES,ATX,400W,11307.73
